e	k	m
0	6	2725.0
1	6	8695.759999999998
2	6	12531.189999999995
3	6	13811.150000000001
0	7	5660.5999999999985
1	7	30886.880000000012
2	7	55643.25000000002
3	7	65873.09999999999
0	8	7296.84
1	8	56111.71999999999
2	8	158366.82
3	8	224433.80999999997
0	9	8056.760000000002
1	9	71580.65
2	9	280439.88999999996
3	9	580237.1499999999
0	10	8439.579999999996
1	10	79411.08999999998
2	10	361419.7900000001
3	10	1017605.97
0	11	8674.820000000002
1	11	83726.99999999997
2	11	406011.32000000007
3	11	1329185.8099999996
0	12	8845.050000000001
1	12	86600.40999999996
2	12	432585.88000000006
3	12	1514104.0700000003
