e	k	t
0	6	1.4200000000000006
1	6	2.440000000000001
2	6	4.809999999999999
3	6	7.380000000000006
0	7	2.8499999999999965
1	7	10.889999999999992
2	7	25.150000000000002
3	7	43.20000000000001
0	8	4.729999999999996
1	8	26.84
2	8	79.99999999999994
3	8	157.78999999999994
0	9	5.469999999999994
1	9	41.499999999999986
2	9	156.58
3	9	359.04999999999995
0	10	5.789999999999995
1	10	47.75000000000001
2	10	224.03999999999996
3	10	621.2400000000002
0	11	6.109999999999995
1	11	51.32
2	11	260.87
3	11	860.1299999999999
0	12	6.649999999999997
1	12	53.19000000000001
2	12	278.21999999999997
3	12	998.72
